Icecream_units,Icecream_unit_cost,Nuts_units,Nuts_unit_cost,Total_cost,Variance
20144,5.71,11474,2.54,144166.0,35834.0
20910,6.46,10473,2.25,158643.0,21357.0
24932,6.64,13699,2.86,204728.0,-24728.0
22354,6.88,11064,2.72,183890.0,-3890.0
23739,5.62,11385,2.42,160965.0,19035.0
22548,7.78,10755,2.54,202741.0,-22741.0
21399,6.92,12680,2.91,184980.0,-4980.0
24982,7.96,11293,2.73,229687.0,-49687.0
20032,7.52,14540,2.27,183646.0,-3646.0
22008,6.78,10761,2.69,178161.0,1839.0
21958,7.23,12694,2.71,193157.0,-13157.0
20403,7.3,14820,2.54,186585.0,-6585.0
20545,7.9,11101,2.33,188171.0,-8171.0
21506,7.78,11369,2.75,198581.0,-18581.0
22812,7.97,13240,2.1,209616.0,-29616.0
24615,7.47,14750,2.15,215587.0,-35587.0
22120,6.34,14177,2.13,170438.0,9562.0
22723,6.03,13252,2.61,171607.0,8393.0
20173,6.76,12034,2.82,170305.0,9695.0
20299,6.37,14714,2.97,173005.0,6995.0
21192,5.02,11758,2.75,138718.0,41282.0
20826,6.87,13602,2.51,177216.0,2784.0
22558,6.54,12881,2.85,184240.0,-4240.0
23959,6.95,12055,2.81,200390.0,-20390.0
23716,6.42,11167,2.39,178946.0,1054.0
23277,7.5,11798,2.89,208674.0,-28674.0
23399,6.08,11182,2.46,169774.0,10226.0
20070,7.23,10160,2.21,167560.0,12440.0
20340,6.19,13977,2.61,162385.0,17615.0
20928,6.64,13451,2.47,172186.0,7814.0
22797,6.96,14065,2.76,197487.0,-17487.0
23552,6.96,13062,3.0,203108.0,-23108.0
20590,6.12,10231,2.07,147189.0,32811.0
24864,7.6,13099,2.99,228132.0,-48132.0
23443,5.42,10750,2.01,148669.0,31331.0
24172,6.87,11657,2.16,191241.0,-11241.0
22991,6.48,12015,2.52,179259.0,741.0
21960,7.72,10492,2.75,198384.0,-18384.0
20579,5.74,14912,2.36,153316.0,26684.0
21679,7.33,13029,2.34,189395.0,-9395.0
22333,6.58,11273,2.39,173894.0,6106.0
23767,6.14,13023,2.07,172887.0,7113.0
20235,7.75,12504,2.33,185956.0,-5956.0
21914,7.52,13803,2.51,199439.0,-19439.0
23630,7.79,13641,2.44,217362.0,-37362.0
22377,6.08,14720,2.04,166081.0,13919.0
22455,5.03,11616,2.63,143499.0,36501.0
21210,6.92,14582,2.66,185561.0,-5561.0
23363,7.15,14408,2.35,200904.0,-20904.0
20926,5.56,11104,2.98,149438.0,30562.0
21804,7.11,14908,2.96,199154.0,-19154.0
22110,7.83,10730,2.28,197586.0,-17586.0
23688,7.99,10176,2.08,210433.0,-30433.0
22552,6.02,11643,2.36,163241.0,16759.0
20805,7.44,13129,2.58,188662.0,-8662.0
22544,5.68,14950,2.0,157950.0,22050.0
24541,7.95,10201,2.07,216217.0,-36217.0
22768,5.73,13780,2.4,163533.0,16467.0
23820,6.59,14795,2.31,191150.0,-11150.0
21943,5.33,11570,2.73,148542.0,31458.0
21732,7.89,10277,2.41,196233.0,-16233.0
22292,7.11,12413,2.07,184191.0,-4191.0
23267,7.44,13263,2.05,200296.0,-20296.0
22346,5.34,13643,2.76,156982.0,23018.0
23319,6.0,13160,2.78,176499.0,3501.0
23079,5.06,11993,2.9,151559.0,28441.0
22449,7.5,11796,2.3,195498.0,-15498.0
22777,6.27,14868,2.73,183401.0,-3401.0
22200,6.17,14826,2.46,173446.0,6554.0
20916,6.09,13648,2.57,162454.0,17546.0
21938,7.32,10945,2.74,190575.0,-10575.0
23544,7.97,10618,2.11,210050.0,-30050.0
22833,6.92,10400,2.02,179012.0,988.0
23479,5.64,10566,2.81,162112.0,17888.0
21207,6.97,10104,2.35,171557.0,8443.0
22354,6.13,13685,2.47,170832.0,9168.0
20583,6.59,12656,2.54,167788.0,12212.0
22312,6.23,11969,2.11,164258.0,15742.0
23740,7.21,14461,2.25,203703.0,-23703.0
22826,7.38,14188,2.53,204352.0,-24352.0
23779,7.99,14196,2.85,230453.0,-50453.0
22591,7.82,10221,2.96,206916.0,-26916.0
20791,7.86,13295,2.42,195591.0,-15591.0
21217,5.64,14293,2.87,160685.0,19315.0
23319,6.72,13161,2.48,189343.0,-9343.0
22456,7.33,10032,2.93,193996.0,-13996.0
21333,7.8,12175,2.02,190991.0,-10991.0
21159,7.48,11008,2.57,186560.0,-6560.0
20573,7.56,13202,2.98,194874.0,-14874.0
23019,7.7,10563,2.2,200485.0,-20485.0
22921,7.23,13909,2.67,202856.0,-22856.0
20107,5.63,14910,2.79,154801.0,25199.0
23842,5.03,12222,2.63,152069.0,27931.0
24166,7.14,13632,2.74,209897.0,-29897.0
24952,6.4,13584,2.17,189170.0,-9170.0
23789,7.74,10196,2.1,205538.0,-25538.0
22395,5.66,11429,2.73,157957.0,22043.0
22330,7.61,11362,2.91,202995.0,-22995.0
24301,5.56,10756,2.57,162756.0,17244.0
23416,6.79,12153,2.35,187554.0,-7554.0
20496,6.31,12868,2.31,159055.0,20945.0
20102,6.6,14398,2.86,173851.0,6149.0
22282,6.08,11973,2.34,163491.0,16509.0
22665,5.71,10044,2.43,153824.0,26176.0
21136,7.7,12459,2.03,188039.0,-8039.0
22382,7.91,12155,2.49,207308.0,-27308.0
21457,5.32,11494,2.31,140702.0,39298.0
20785,6.19,13815,2.27,160019.0,19981.0
20991,7.27,13814,2.64,189074.0,-9074.0
20400,5.72,12523,2.57,148872.0,31128.0
22771,6.41,13015,2.37,176808.0,3192.0
20649,6.93,12094,2.12,168737.0,11263.0
20883,7.74,12490,2.85,197231.0,-17231.0
21832,7.15,14220,2.22,187667.0,-7667.0
24573,6.66,12152,2.92,199140.0,-19140.0
23398,5.61,11309,2.35,157839.0,22161.0
22672,5.72,13424,2.36,161364.0,18636.0
22150,7.24,11417,2.01,183314.0,-3314.0
23036,7.34,10002,2.78,196890.0,-16890.0
23019,7.76,10737,2.1,201175.0,-21175.0
23856,5.14,10163,2.1,143962.0,36038.0
20625,6.34,14806,2.14,162447.0,17553.0
21496,6.16,11133,2.47,159914.0,20086.0
23475,6.57,14941,2.1,185607.0,-5607.0
23570,6.68,12271,2.84,192297.0,-12297.0
22776,6.72,14480,2.44,188386.0,-8386.0
22108,7.02,10516,2.51,181593.0,-1593.0
21050,7.42,10724,2.17,179462.0,538.0
20548,5.35,10447,2.07,131557.0,48443.0
22487,5.95,14180,2.61,170807.0,9193.0
22180,7.14,14159,2.33,191356.0,-11356.0
22935,6.33,13536,2.67,181320.0,-1320.0
20948,7.0,13973,2.11,176119.0,3881.0
23817,6.73,12553,2.98,197696.0,-17696.0
21789,6.56,12678,2.08,169306.0,10694.0
23062,7.88,14422,2.99,224850.0,-44850.0
23471,6.46,11074,2.16,175542.0,4458.0
22200,6.0,11808,2.99,168506.0,11494.0
22987,5.6,13279,2.14,157144.0,22856.0
22320,6.44,11924,2.32,171404.0,8596.0
21393,6.07,12891,2.66,164146.0,15854.0
24149,6.33,10886,2.05,175179.0,4821.0
24751,7.49,12131,2.52,215955.0,-35955.0
22482,5.3,12552,2.92,155806.0,24194.0
22396,6.87,13704,2.93,194013.0,-14013.0
24063,6.57,10018,2.84,186545.0,-6545.0
23509,7.26,13504,2.37,202680.0,-22680.0
24900,6.53,14230,2.56,199026.0,-19026.0
22909,5.34,10117,2.52,147829.0,32171.0
22901,5.86,13050,2.68,169174.0,10826.0
20390,7.09,12878,2.91,182040.0,-2040.0
20251,5.29,13695,2.08,135613.0,44387.0
24480,5.38,12577,2.38,161636.0,18364.0
23369,6.14,10231,2.4,168040.0,11960.0
21220,7.42,12236,2.18,184127.0,-4127.0
22848,7.91,11825,2.98,215966.0,-35966.0
24841,6.67,14322,2.49,201351.0,-21351.0
23121,5.97,12734,2.74,172924.0,7076.0
22731,6.41,14368,2.56,182488.0,-2488.0
22245,6.87,13862,2.83,192053.0,-12053.0
21247,7.37,13676,2.47,190370.0,-10370.0
24877,5.06,11051,2.38,152179.0,27821.0
24658,6.24,10221,2.36,177987.0,2013.0
23747,5.55,13803,2.66,168512.0,11488.0
20609,6.74,13289,2.15,167476.0,12524.0
22797,6.12,11945,2.16,165319.0,14681.0
24817,7.76,14970,2.79,234346.0,-54346.0
21058,5.72,13975,2.1,149799.0,30201.0
23597,6.96,10834,2.03,186228.0,-6228.0
21973,5.39,13038,2.72,153898.0,26102.0
23042,5.2,14008,2.48,154558.0,25442.0
21852,7.4,13492,2.72,198403.0,-18403.0
22621,6.92,13949,2.51,191549.0,-11549.0
20315,6.8,11922,2.66,169855.0,10145.0
20458,7.04,13985,2.1,173393.0,6607.0
21551,7.62,10531,2.07,186018.0,-6018.0
22393,6.99,13175,2.08,183931.0,-3931.0
22054,7.71,10800,2.06,192284.0,-12284.0
20035,5.13,11449,2.99,137012.0,42988.0
24459,5.24,14245,2.63,165630.0,14370.0
23788,6.07,11483,2.35,171378.0,8622.0
20320,5.86,12793,2.37,149395.0,30605.0
23912,5.8,12693,2.3,167884.0,12116.0
21071,5.09,13370,2.22,136933.0,43067.0
21697,6.32,12858,2.89,174285.0,5715.0
21536,5.63,12926,2.52,153821.0,26179.0
24827,7.35,11253,2.55,211174.0,-31174.0
23747,6.74,14653,2.49,196541.0,-16541.0
23588,7.92,12628,2.49,218261.0,-38261.0
21273,5.62,12043,2.11,144965.0,35035.0
23163,5.98,12672,2.62,171715.0,8285.0
22064,7.46,14441,2.49,200556.0,-20556.0
22223,7.14,11736,2.22,184726.0,-4726.0
21819,5.51,14689,2.96,163702.0,16298.0
21320,5.37,13610,2.52,148786.0,31214.0
21540,5.77,14376,2.7,163101.0,16899.0
21909,5.79,13583,2.3,158094.0,21906.0
23051,7.46,13886,2.11,201260.0,-21260.0
22346,7.81,12136,2.6,206076.0,-26076.0
22011,6.49,10745,2.24,166920.0,13080.0
22264,5.11,10474,2.77,142782.0,37218.0
24925,7.11,13406,2.96,216899.0,-36899.0
22187,7.99,13582,2.59,212452.0,-32452.0
22658,7.33,13166,2.79,202816.0,-22816.0
24451,5.07,11108,2.75,154514.0,25486.0
20469,7.07,12315,2.63,177104.0,2896.0
20441,6.22,13032,2.81,163763.0,16237.0
20418,6.36,13352,2.47,162838.0,17162.0
24694,5.22,11582,2.67,159827.0,20173.0
23652,6.11,12363,2.75,178512.0,1488.0
23005,6.14,13072,2.9,179159.0,841.0
24099,5.89,12609,2.97,179392.0,608.0
23370,7.64,13390,2.75,215369.0,-35369.0
23694,5.3,13658,2.48,159450.0,20550.0
22274,6.49,11702,2.53,174164.0,5836.0
22950,7.61,14982,2.64,214202.0,-34202.0
24326,5.69,12642,2.44,169261.0,10739.0
23269,6.11,10919,2.87,173511.0,6489.0
24211,5.28,14615,2.59,165687.0,14313.0
23437,7.65,13737,2.06,207591.0,-27591.0
21007,7.48,11092,2.94,189743.0,-9743.0
20472,7.16,14539,2.91,188888.0,-8888.0
21926,5.67,12589,2.57,156674.0,23326.0
23081,6.17,14390,2.44,177521.0,2479.0
21283,6.25,10101,2.18,155039.0,24961.0
23756,7.71,13476,2.94,222778.0,-42778.0
23234,6.27,12309,2.19,172634.0,7366.0
21691,7.6,13378,2.56,199099.0,-19099.0
21584,6.37,10265,2.69,165103.0,14897.0
24512,7.56,12861,2.87,222222.0,-42222.0
21860,6.19,12406,2.65,168189.0,11811.0
20340,7.58,11917,2.3,181586.0,-1586.0
20911,5.65,10510,2.58,145263.0,34737.0
22536,7.22,10036,2.86,191413.0,-11413.0
22489,7.8,11996,2.83,209363.0,-29363.0
22807,7.18,12382,2.57,195576.0,-15576.0
24119,7.57,12601,2.31,211689.0,-31689.0
20192,6.97,14801,2.6,179221.0,779.0
24992,7.31,11788,2.46,211690.0,-31690.0
20744,7.06,11385,2.79,178217.0,1783.0
20888,6.0,10089,2.95,155091.0,24909.0
21065,7.88,10863,2.15,189348.0,-9348.0
24270,6.7,12980,2.27,192074.0,-12074.0
23180,5.51,13641,2.8,165917.0,14083.0
23247,5.42,13556,2.65,161922.0,18078.0
20174,6.17,14636,2.71,164137.0,15863.0
23905,5.96,12746,2.13,169623.0,10377.0
23520,7.47,14351,2.42,210424.0,-30424.0
21050,7.89,12121,2.39,195054.0,-15054.0
21688,5.29,14743,2.81,156157.0,23843.0
21643,5.57,10279,2.78,149127.0,30873.0
23232,5.45,11878,2.42,155359.0,24641.0
21699,7.82,13548,2.85,208298.0,-28298.0
22270,5.88,14525,2.85,172344.0,7656.0
23501,5.22,10335,2.95,153163.0,26837.0
22121,5.29,13084,2.55,150384.0,29616.0
23143,6.27,13062,2.68,180113.0,-113.0
23555,7.12,11909,2.86,201771.0,-21771.0
24091,5.43,14748,2.27,164292.0,15708.0
24248,7.8,11596,2.64,219748.0,-39748.0
24442,6.32,11677,2.54,184133.0,-4133.0
24966,6.17,12134,2.12,179764.0,236.0
23947,6.02,13076,2.79,180643.0,-643.0
24675,5.79,14623,2.71,182497.0,-2497.0
23106,6.55,12910,2.72,186460.0,-6460.0
20044,5.02,13399,2.43,133180.0,46820.0
24578,5.03,13365,2.42,155971.0,24029.0
20622,6.2,12562,2.13,154613.0,25387.0
23730,7.05,11592,2.78,199522.0,-19522.0
24340,5.43,12306,2.94,168346.0,11654.0
21116,6.2,13062,2.86,168277.0,11723.0
21117,6.35,11174,2.38,160687.0,19313.0
24861,6.07,10463,2.13,173192.0,6808.0
20997,5.3,13938,2.52,146408.0,33592.0
20179,7.42,12780,2.88,186535.0,-6535.0
21373,7.72,14232,2.1,194887.0,-14887.0
23205,5.27,12666,2.03,148002.0,31998.0
24374,6.13,10532,2.41,174795.0,5205.0
21127,7.96,13807,2.83,207245.0,-27245.0
23632,5.23,11845,2.66,155103.0,24897.0
22038,5.72,12260,2.67,158792.0,21208.0
24309,6.39,11147,2.65,184874.0,-4874.0
22826,7.36,12408,2.1,194056.0,-14056.0
21955,5.55,13578,2.38,154166.0,25834.0
23800,6.33,12435,2.11,176892.0,3108.0
23621,7.22,14670,2.63,209126.0,-29126.0
23235,7.17,13628,2.12,195486.0,-15486.0
20495,6.04,13592,2.71,160624.0,19376.0
23400,7.95,11480,2.04,209449.0,-29449.0
22681,6.44,11691,2.35,173539.0,6461.0
23423,7.48,10610,2.54,202153.0,-22153.0
20603,7.35,12086,2.78,185031.0,-5031.0
21510,7.08,13235,2.33,183128.0,-3128.0
23747,7.79,10115,2.61,211389.0,-31389.0
22825,6.97,10955,2.84,190202.0,-10202.0
24395,6.77,14728,2.34,199618.0,-19618.0
22642,5.21,11617,2.53,147356.0,32644.0
24585,6.82,10298,2.89,197431.0,-17431.0
20873,7.52,14634,2.42,192379.0,-12379.0
20864,5.98,13915,2.23,155797.0,24203.0
21412,6.54,10794,2.85,170797.0,9203.0
20252,5.78,12631,2.34,146613.0,33387.0
20132,5.74,14796,2.47,152104.0,27896.0
20399,5.84,13527,2.74,156194.0,23806.0
20589,5.26,12802,2.97,146320.0,33680.0
22154,6.18,11968,2.8,170422.0,9578.0
23658,6.2,10727,2.37,172103.0,7897.0
20239,6.77,14882,2.02,167080.0,12920.0
20169,5.28,13762,2.78,144751.0,35249.0
24840,6.94,12135,2.46,202242.0,-22242.0
23568,6.7,13248,2.12,185991.0,-5991.0
20998,5.79,13007,2.18,149934.0,30066.0
20397,7.55,13203,2.62,188589.0,-8589.0
22368,5.88,11266,2.78,162843.0,17157.0
24012,5.63,10373,2.15,157490.0,22510.0
23992,7.53,11688,2.26,207075.0,-27075.0
23320,5.82,10656,2.59,163321.0,16679.0
24288,5.28,11469,2.66,158748.0,21252.0
21057,7.85,10571,2.41,190774.0,-10774.0
20250,5.2,14273,2.57,141982.0,38018.0
20280,7.2,14054,2.33,178762.0,1238.0
21355,5.34,12023,2.26,141208.0,38792.0
20110,7.19,11924,2.64,176070.0,3930.0
24677,7.84,10799,2.08,215930.0,-35930.0
23921,7.41,13812,2.63,213580.0,-33580.0
22311,6.81,11100,2.3,177468.0,2532.0
21341,7.1,12274,2.97,187975.0,-7975.0
20305,6.11,13573,2.82,162339.0,17661.0
22755,6.14,14791,2.62,178468.0,1532.0
24594,6.62,10700,2.69,191595.0,-11595.0
23653,7.75,14967,2.81,225368.0,-45368.0
20456,7.91,10321,2.69,189570.0,-9570.0
23861,6.89,10769,2.74,193909.0,-13909.0
21001,6.78,12140,2.39,171401.0,8599.0
24148,7.16,10209,2.5,198422.0,-18422.0
20547,6.44,14798,2.45,168578.0,11422.0
21758,7.52,14387,2.71,202609.0,-22609.0
21267,7.9,14582,2.09,198486.0,-18486.0
20438,5.83,13259,2.95,158268.0,21732.0
21453,6.07,11326,2.17,154797.0,25203.0
24458,7.79,13085,2.43,222324.0,-42324.0
24189,6.07,14641,2.21,179184.0,816.0
21870,6.53,13149,2.9,180943.0,-943.0
22045,6.87,14667,2.45,187383.0,-7383.0
22806,6.43,10064,2.03,167072.0,12928.0
22151,7.18,10296,2.65,186329.0,-6329.0
21663,6.82,14255,2.71,186373.0,-6373.0
21428,5.73,12284,2.88,158160.0,21840.0
24323,5.6,10039,2.68,163113.0,16887.0
21061,5.32,13676,2.03,139807.0,40193.0
20796,5.78,11104,2.66,149738.0,30262.0
21046,6.09,10075,2.5,153358.0,26642.0
22708,6.39,12218,2.64,177360.0,2640.0
20922,7.01,14971,2.6,185588.0,-5588.0
23152,5.08,10355,2.32,141636.0,38364.0
22560,5.21,14217,2.79,157203.0,22797.0
21041,6.89,10873,2.86,176069.0,3931.0
20865,6.09,12132,2.07,152181.0,27819.0
22051,5.72,10437,2.63,153581.0,26419.0
20848,7.25,13678,2.5,185343.0,-5343.0
20665,7.53,11538,2.61,185722.0,-5722.0
23912,5.3,12128,2.51,157175.0,22825.0
24178,7.19,14459,2.38,208252.0,-28252.0
22294,5.43,12653,2.82,156738.0,23262.0
21145,5.18,13050,2.61,143592.0,36408.0
21261,7.1,11436,2.51,179657.0,343.0
24179,6.16,14221,2.9,190184.0,-10184.0
20499,5.02,13921,2.58,138821.0,41179.0
23081,6.84,13951,2.38,191077.0,-11077.0
23715,6.69,12773,2.4,189309.0,-9309.0
24510,5.78,11689,2.92,175800.0,4200.0
23401,7.62,13500,2.36,210176.0,-30176.0
22146,7.83,10717,2.78,203196.0,-23196.0
23851,7.21,14552,2.61,209946.0,-29946.0
24286,7.58,10819,2.89,215355.0,-35355.0
22424,7.52,11610,2.06,192545.0,-12545.0
22360,5.31,10325,2.01,139485.0,40515.0
24544,6.69,10138,2.45,189037.0,-9037.0
21690,6.94,13263,2.19,179575.0,425.0
20823,5.9,11322,2.07,146292.0,33708.0
20425,5.28,13321,2.3,138482.0,41518.0
23600,5.67,11956,2.33,161669.0,18331.0
20938,6.62,14968,2.61,177676.0,2324.0
20624,7.75,10775,2.53,187097.0,-7097.0
23178,6.92,10692,2.95,191933.0,-11933.0
23266,5.79,11489,2.04,158148.0,21852.0
23613,5.87,13859,2.35,171177.0,8823.0
21967,5.38,10397,2.58,145007.0,34993.0
23904,5.87,12050,2.66,172369.0,7631.0
22740,5.46,14639,2.93,167053.0,12947.0
22143,6.0,12221,2.4,162188.0,17812.0
22481,5.61,10897,2.85,157175.0,22825.0
22210,5.68,12276,2.81,160648.0,19352.0
22099,5.18,11305,2.91,147370.0,32630.0
22260,7.82,14450,2.17,205430.0,-25430.0
21928,7.21,11042,2.12,181510.0,-1510.0
21344,6.06,12351,2.43,159358.0,20642.0
24389,6.29,14487,2.47,189190.0,-9190.0
22311,5.04,10041,2.61,138654.0,41346.0
23851,5.28,10321,2.88,155658.0,24342.0
21488,7.63,12955,2.93,201912.0,-21912.0
23539,7.83,12308,2.21,211511.0,-31511.0
24440,5.81,10067,2.34,165553.0,14447.0
23117,5.77,11165,2.6,162414.0,17586.0
23479,6.46,13020,2.9,189432.0,-9432.0
23471,6.78,14369,2.18,190458.0,-10458.0
23659,5.67,14242,2.14,164624.0,15376.0
21344,6.97,14985,2.37,184282.0,-4282.0
21738,5.36,10186,2.62,143203.0,36797.0
21841,5.25,14724,2.62,153242.0,26758.0
23100,5.39,10074,2.83,153018.0,26982.0
21903,7.88,14669,2.09,203254.0,-23254.0
21267,5.66,10319,2.22,143279.0,36721.0
20516,7.99,14576,2.42,199197.0,-19197.0
21459,5.5,12567,2.73,152332.0,27668.0
21592,5.16,11409,2.66,141763.0,38237.0
24825,7.77,10302,2.48,218439.0,-38439.0
24599,7.18,11228,2.47,204354.0,-24354.0
20260,5.02,13597,2.35,133658.0,46342.0
22698,6.39,13507,2.75,182184.0,-2184.0
21748,6.52,10610,2.73,170762.0,9238.0
20108,5.39,12823,2.64,142235.0,37765.0
20769,6.52,12930,2.97,173816.0,6184.0
24027,7.4,11167,2.69,207839.0,-27839.0
22904,5.34,12557,2.05,148049.0,31951.0
24297,5.05,12043,2.41,151723.0,28277.0
21458,6.61,12094,2.39,170742.0,9258.0
24108,7.8,11753,2.03,211901.0,-31901.0
24008,7.22,10519,2.56,200266.0,-20266.0
23583,5.3,10580,2.81,154720.0,25280.0
22015,5.62,11310,2.82,155618.0,24382.0
22664,5.56,10655,2.74,155207.0,24793.0
24205,6.39,13888,2.5,189390.0,-9390.0
20669,5.58,11184,2.41,142286.0,37714.0
22294,7.38,14901,2.95,208488.0,-28488.0
20246,7.73,14007,2.11,186056.0,-6056.0
21298,7.3,12525,2.85,191172.0,-11172.0
23358,6.58,11936,2.37,181984.0,-1984.0
24779,5.05,10689,2.99,157094.0,22906.0
24145,6.1,12193,2.13,173256.0,6744.0
21304,5.23,10064,2.51,136681.0,43319.0
20721,7.95,10287,2.45,189935.0,-9935.0
23645,7.0,14102,2.46,200206.0,-20206.0
22476,5.97,10355,2.72,162347.0,17653.0
22303,7.51,10017,2.68,194341.0,-14341.0
23745,7.29,10367,2.92,203373.0,-23373.0
23689,7.67,10181,2.44,206536.0,-26536.0
20617,6.06,11049,2.54,153003.0,26997.0
22360,6.02,13531,2.76,171953.0,8047.0
20493,5.02,14386,2.35,136682.0,43318.0
24668,7.07,10780,2.22,198334.0,-18334.0
20124,6.18,13381,2.49,157685.0,22315.0
22466,7.33,13722,2.41,197746.0,-17746.0
24541,5.61,13559,2.35,169539.0,10461.0
21808,6.47,11607,2.84,174062.0,5938.0
20813,7.23,10534,2.49,176708.0,3292.0
21526,7.02,10702,2.17,174336.0,5664.0
23634,7.44,12458,2.76,210221.0,-30221.0
22175,7.3,12869,2.49,193921.0,-13921.0
21559,5.34,10546,2.73,143916.0,36084.0
23985,6.66,13166,2.65,194630.0,-14630.0
22903,5.37,10493,2.66,150900.0,29100.0
24427,7.75,13212,2.47,221943.0,-41943.0
23703,6.27,13523,2.36,180532.0,-532.0
20046,6.72,14981,2.13,166619.0,13381.0
23518,5.24,10610,2.99,154958.0,25042.0
22655,5.63,10046,2.22,149850.0,30150.0
24396,6.21,11857,2.6,182327.0,-2327.0
20432,7.88,11038,2.54,189041.0,-9041.0
23890,7.71,11462,2.75,215712.0,-35712.0
24688,7.69,13152,2.42,221679.0,-41679.0
24157,5.06,12351,2.45,152494.0,27506.0
22201,5.12,14405,2.51,149826.0,30174.0
22939,7.38,11410,2.48,197587.0,-17587.0
22664,6.9,10709,2.14,179299.0,701.0
23569,6.75,10657,2.42,184881.0,-4881.0
20132,7.76,12526,2.53,187915.0,-7915.0
23166,7.94,14784,2.42,219715.0,-39715.0
22414,7.32,13096,2.11,191703.0,-11703.0
24235,5.98,12813,2.2,173114.0,6886.0
22368,7.26,11672,2.47,191222.0,-11222.0
21505,7.48,13288,2.31,191553.0,-11553.0
20605,7.11,11321,2.91,179446.0,554.0
21834,7.65,10856,2.02,188959.0,-8959.0
24422,5.37,12266,2.62,163283.0,16717.0
24197,5.36,13418,2.86,168071.0,11929.0
21243,5.62,11180,2.2,143982.0,36018.0
22701,6.12,14218,2.21,170352.0,9648.0
21468,7.29,11061,2.3,181942.0,-1942.0
21417,7.58,12156,2.95,198201.0,-18201.0
23990,7.71,12888,2.32,214863.0,-34863.0
21406,6.06,12599,2.45,160588.0,19412.0
21776,7.17,13263,2.63,191016.0,-11016.0
24437,6.49,13503,2.53,192759.0,-12759.0
20717,7.4,13512,2.22,183302.0,-3302.0
23793,7.28,14494,2.04,202781.0,-22781.0
21524,5.17,12604,2.21,139134.0,40866.0
23923,5.98,10831,2.27,167646.0,12354.0
23074,7.55,14502,2.04,203793.0,-23793.0
23144,5.12,11106,2.06,141376.0,38624.0
21323,6.77,12853,2.49,176361.0,3639.0
22095,5.56,14489,2.29,156028.0,23972.0
20622,6.69,12444,2.71,171684.0,8316.0
24970,5.23,14454,2.54,167306.0,12694.0
24968,5.16,14921,2.47,165690.0,14310.0
20460,6.53,14144,2.26,165569.0,14431.0
22715,7.3,12759,2.84,202055.0,-22055.0
23943,5.82,14576,2.65,177975.0,2025.0
21197,5.72,13669,2.38,153779.0,26221.0
20187,5.14,13941,2.56,139450.0,40550.0
21242,7.54,12867,2.23,188858.0,-8858.0
21340,7.83,13669,2.6,202632.0,-22632.0
23305,7.9,11478,2.52,213034.0,-33034.0
22183,6.92,10725,2.71,182571.0,-2571.0
24069,7.32,11919,2.56,206698.0,-26698.0
24422,5.11,11951,2.18,150850.0,29150.0
22166,6.37,14385,2.32,174571.0,5429.0
22879,6.24,14091,2.02,171229.0,8771.0
20792,6.68,10069,2.33,162351.0,17649.0
24859,6.91,12316,2.81,206384.0,-26384.0
20300,7.04,10228,2.6,169505.0,10495.0
22468,6.69,14838,2.5,187406.0,-7406.0
24271,7.7,13590,2.74,224123.0,-44123.0
23644,7.62,10862,2.14,203412.0,-23412.0
20059,6.34,12283,2.04,152231.0,27769.0
22762,7.21,13639,2.75,201621.0,-21621.0
24395,5.4,14368,2.45,166935.0,13065.0
23729,7.73,11302,2.11,207272.0,-27272.0
22130,5.39,10830,2.64,147872.0,32128.0
21286,7.77,14406,2.06,195069.0,-15069.0
24434,5.85,14827,2.51,180155.0,-155.0
21146,5.59,11125,2.24,143126.0,36874.0
20634,6.6,12419,2.97,173069.0,6931.0
22140,6.98,14650,2.62,192920.0,-12920.0
24853,7.72,11672,2.23,217894.0,-37894.0
23579,5.82,13911,2.58,173120.0,6880.0
20617,5.97,13981,2.18,153562.0,26438.0
22425,7.86,11328,2.58,205487.0,-25487.0
22994,7.74,10596,2.29,202238.0,-22238.0
24082,5.06,12695,2.84,157909.0,22091.0
24973,7.01,13361,2.49,208330.0,-28330.0
24064,5.16,14368,2.58,161240.0,18760.0
22367,6.18,12649,2.44,169092.0,10908.0
23123,6.64,11989,2.97,189144.0,-9144.0
21567,5.64,10257,2.42,146460.0,33540.0
22340,6.97,11576,2.89,189164.0,-9164.0
23250,6.36,11620,2.4,175758.0,4242.0
22950,5.94,14551,2.59,174010.0,5990.0
23813,7.22,14665,2.85,213725.0,-33725.0
20749,6.16,14372,2.68,166331.0,13669.0
20079,7.98,12475,2.44,190669.0,-10669.0
23548,6.33,11824,2.42,177673.0,2327.0
20124,5.74,14957,2.36,150810.0,29190.0
23044,5.76,12153,2.56,163845.0,16155.0
21261,7.09,13133,2.24,180158.0,-158.0
23452,7.12,11300,2.76,198166.0,-18166.0
20938,7.76,14628,2.48,198756.0,-18756.0
24360,7.76,13425,2.93,228369.0,-48369.0
20055,7.54,12538,2.86,187073.0,-7073.0
24880,7.64,14544,2.19,221935.0,-41935.0
24746,6.39,14864,2.6,196773.0,-16773.0
21170,5.05,13952,2.97,148346.0,31654.0
22617,6.66,12271,2.2,177625.0,2375.0
24778,5.55,12423,2.35,166712.0,13288.0
20587,6.16,13528,2.98,167129.0,12871.0
23743,7.26,13784,2.73,210004.0,-30004.0
22781,6.02,14816,2.36,172107.0,7893.0
22207,6.43,12414,2.86,178295.0,1705.0
24365,6.44,11977,2.57,187691.0,-7691.0
23292,7.1,11010,2.44,192238.0,-12238.0
23674,5.67,10692,2.35,159358.0,20642.0
