CustomerID,InvoiceDate,InvoiceNumber,ProductCode,ProductDescription,QuantityPurchased,UnitCost,InvoiceAmount
C1041,30/03/2024,INV45381F,CT8712654,BROWNIE BITES,5,7,35
C1048,30/03/2024,INV45381G,CT8152376,DIY COOKIE MIX,5,14,70
C1051,30/03/2024,INV45381H,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1053,30/03/2024,INV45381I,CT3825961,MAPLE-CRUSTED PECANS,6,10,60
C1010,31/03/2024,INV45382J,CT4923568,MINI COOKIE POUCH,8,5,40
C1013,31/03/2024,INV45382K,CT9564237,PLANT-BASED MINI COOKIES,10,9,90
C1019,31/03/2024,INV45382L,CT8239476,SWEET TOOTH BOX,11,15,165
C1030,31/03/2024,INV45382M,CT5347126,GLUTEN-FREE BROWNIE BITES,13,11,143
C1034,31/03/2024,INV45382N,CT8152376,DIY COOKIE MIX,15,14,210
C1049,31/03/2024,INV45382O,CT8152376,DIY COOKIE MIX,6,14,84
C1051,31/03/2024,INV45382P,CT9564237,SWEET TOOTH BOX,6,15,54
C1055,31/03/2024,INV45382Q,CT9564237,PLANT-BASED MINI COOKIES,10,9,90
C1062,31/03/2024,INV45382R,CT3981567,HONEY-ROASTED ALMOND BRITTLE,14,6,84
C1028,01/04/2024,INV45383S,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,17,13,221
C1046,01/04/2024,INV45383T,CT8152376,DIY COOKIE MIX,7,14,98
C1055,01/04/2024,INV45383U,CT8152376,DIY COOKIE MIX,7,14,98
C1055,01/04/2024,INV45383V,CT8712654,BROWNIE BITES,13,7,91
C1058,01/04/2024,INV45383W,CT5347126,GLUTEN-FREE BROWNIE BITES,4,11,44
C1060,01/04/2024,INV45383X,CT3981567,HONEY-ROASTED ALMOND BRITTLE,11,6,66
C1070,01/04/2024,INV45383Y,CT4923568,MINI COOKIE POUCH,4,5,20
C1086,01/04/2024,INV45383Z,CT3981567,HONEY-ROASTED ALMOND BRITTLE,5,6,30
C1007,02/04/2024,INV45384A,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1010,02/04/2024,INV45384B,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1033,02/04/2024,INV45384C,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1043,02/04/2024,INV45384D,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1062,02/04/2024,INV45384E,CT8239476,SWEET TOOTH BOX,8,15,120
C1062,02/04/2024,INV45384F,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1062,02/04/2024,INV45384G,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,18,12,216
C1070,02/04/2024,INV45384H,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,8,12,96
C1074,02/04/2024,INV45384I,CT8152376,DIY COOKIE MIX,7,14,98
C1080,02/04/2024,INV45384J,CT8712654,BROWNIE BITES,6,7,42
C1011,03/04/2024,INV45385K,CT8712654,BROWNIE BITES,12,7,84
C1022,03/04/2024,INV45385L,CT8239476,PLANT-BASED MINI COOKIES,8,9,120
C1026,03/04/2024,INV45385M,CT8152376,DIY COOKIE MIX,11,14,154
C1032,03/04/2024,INV45385N,CT8152376,DIY COOKIE MIX,7,14,98
C1063,03/04/2024,INV45385O,CT3981567,HONEY-ROASTED ALMOND BRITTLE,11,6,66
C1069,03/04/2024,INV45385P,CT3825961,MAPLE-CRUSTED PECANS,12,10,120
C1001,04/04/2024,INV45386Q,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1014,04/04/2024,INV45386R,CT5347126,GLUTEN-FREE BROWNIE BITES,10,11,110
C1018,04/04/2024,INV45386S,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1024,04/04/2024,INV45386T,CT3825961,MAPLE-CRUSTED PECANS,13,10,130
C1027,04/04/2024,INV45386U,CT8641935,FREEZE-DRIED FRUIT CHIPS,6,8,48
C1041,04/04/2024,INV45386V,CT8239476,SWEET TOOTH BOX,5,15,75
C1046,04/04/2024,INV45386W,CT5347126,GLUTEN-FREE BROWNIE BITES,12,11,132
C1052,04/04/2024,INV45386X,CT8641935,GLUTEN-FREE BROWNIE BITES,6,11,48
C1060,04/04/2024,INV45386Y,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1018,05/04/2024,INV45387Z,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,9,13,117
C1028,05/04/2024,INV45387A,CT3825961,MAPLE-CRUSTED PECANS,12,10,120
C1030,05/04/2024,INV45387B,CT8641935,FREEZE-DRIED FRUIT CHIPS,11,8,88
C1036,05/04/2024,INV45387C,CT5347126,GLUTEN-FREE BROWNIE BITES,15,11,165
C1046,05/04/2024,INV45387D,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1065,05/04/2024,INV45387E,CT8239476,SWEET TOOTH BOX,10,15,150
C1079,05/04/2024,INV45387F,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,6,12,72
C1018,06/04/2024,INV45388G,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1028,06/04/2024,INV45388H,CT8712654,BROWNIE BITES,12,7,84
C1041,06/04/2024,INV45388I,CT5347126,GLUTEN-FREE BROWNIE BITES,5,11,55
C1056,06/04/2024,INV45388J,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,6,13,78
C1059,06/04/2024,INV45388K,CT3825961,MAPLE-CRUSTED PECANS,7,10,70
C1065,06/04/2024,INV45388L,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,9,13,117
C1067,06/04/2024,INV45388M,CT8712654,BROWNIE BITES,9,7,63
C1003,07/04/2024,INV45389N,CT8641935,FREEZE-DRIED FRUIT CHIPS,8,8,64
C1006,07/04/2024,INV45389O,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,9,13,117
C1026,07/04/2024,INV45389P,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1029,07/04/2024,INV45389Q,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,12,13,156
C1035,07/04/2024,INV45389R,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,16,12,192
C1048,07/04/2024,INV45389S,CT8712654,BROWNIE BITES,9,7,63
C1049,07/04/2024,INV45389T,CT5347126,GLUTEN-FREE BROWNIE BITES,9,11,99
C1052,07/04/2024,INV45389U,CT8641935,GLUTEN-FREE BROWNIE BITES,7,11,56
C1052,07/04/2024,INV45389V,CT8152376,GLUTEN-FREE BROWNIE BITES,8,11,112
C1056,07/04/2024,INV45389W,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1069,07/04/2024,INV45389X,CT8239476,SWEET TOOTH BOX,8,15,120
C1000,08/04/2024,INV45390Y,CT9564237,PLANT-BASED MINI COOKIES,6,9,54
C1005,08/04/2024,INV45390Z,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1033,08/04/2024,INV45390A,CT8641935,FREEZE-DRIED FRUIT CHIPS,16,8,128
C1036,08/04/2024,INV45390B,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,11,12,132
C1054,08/04/2024,INV45390C,CT3981567,HONEY-ROASTED ALMOND BRITTLE,12,6,72
C1065,08/04/2024,INV45390D,CT4923568,MINI COOKIE POUCH,10,5,50
C1075,08/04/2024,INV45390E,CT9564237,PLANT-BASED MINI COOKIES,13,9,117
C1016,09/04/2024,INV45391F,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,10,12,120
C1032,09/04/2024,INV45391G,CT3981567,HONEY-ROASTED ALMOND BRITTLE,12,6,72
C1046,09/04/2024,INV45391H,CT5347126,GLUTEN-FREE BROWNIE BITES,12,11,132
C1075,09/04/2024,INV45391I,CT8712654,BROWNIE BITES,7,7,49
C1002,10/04/2024,INV45392J,CT9564237,GLUTEN-FREE BROWNIE BITES,7,11,63
C1002,10/04/2024,INV45392K,CT2671398,GLUTEN-FREE BROWNIE BITES,8,11,104
C1012,10/04/2024,INV45392L,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,10,12,120
C1019,10/04/2024,INV45392M,CT3825961,MAPLE-CRUSTED PECANS,6,10,60
C1040,10/04/2024,INV45392N,CT8712654,BROWNIE BITES,7,7,49
C1044,10/04/2024,INV45392O,CT3825961,MAPLE-CRUSTED PECANS,7,10,70
C1044,10/04/2024,INV45392P,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,10,13,130
C1052,10/04/2024,INV45392Q,CT8239476,GLUTEN-FREE BROWNIE BITES,5,11,75
C1052,10/04/2024,INV45392R,CT6193754,GLUTEN-FREE BROWNIE BITES,6,11,72
C1053,10/04/2024,INV45392S,CT3825961,MAPLE-CRUSTED PECANS,7,10,70
C1056,10/04/2024,INV45392T,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1072,10/04/2024,INV45392U,CT8152376,DIY COOKIE MIX,10,14,140
C1023,11/04/2024,INV45393V,CT8239476,SWEET TOOTH BOX,13,15,195
C1025,11/04/2024,INV45393W,CT8239476,SWEET TOOTH BOX,9,15,135
C1037,11/04/2024,INV45393X,CT8239476,SWEET TOOTH BOX,7,15,105
C1039,11/04/2024,INV45393Y,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1060,11/04/2024,INV45393Z,CT8239476,SWEET TOOTH BOX,9,15,135
C1021,12/04/2024,INV45394A,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1022,12/04/2024,INV45394B,CT8239476,PLANT-BASED MINI COOKIES,11,9,165
C1023,12/04/2024,INV45394C,CT8239476,SWEET TOOTH BOX,11,15,165
C1036,12/04/2024,INV45394D,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,10,12,120
C1058,12/04/2024,INV45394E,CT4923568,MINI COOKIE POUCH,6,5,30
C1060,12/04/2024,INV45394F,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1065,12/04/2024,INV45394G,CT8641935,FREEZE-DRIED FRUIT CHIPS,10,8,80
C1072,12/04/2024,INV45394H,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,11,12,132
C1002,13/04/2024,INV45395I,CT6193754,GLUTEN-FREE BROWNIE BITES,8,11,96
C1003,13/04/2024,INV45395J,CT8152376,DIY COOKIE MIX,10,14,140
C1010,13/04/2024,INV45395K,CT3825961,MAPLE-CRUSTED PECANS,10,10,100
C1031,13/04/2024,INV45395L,CT8152376,DIY COOKIE MIX,9,14,126
C1035,13/04/2024,INV45395M,CT5347126,GLUTEN-FREE BROWNIE BITES,11,11,121
C1039,13/04/2024,INV45395N,CT4923568,MINI COOKIE POUCH,9,5,45
C1060,13/04/2024,INV45395O,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1000,14/04/2024,INV45396P,CT8641935,FREEZE-DRIED FRUIT CHIPS,7,8,56
C1008,14/04/2024,INV45396Q,CT3825961,MAPLE-CRUSTED PECANS,5,10,50
C1017,14/04/2024,INV45396R,CT3981567,MINI COOKIE POUCH,6,5,36
C1027,14/04/2024,INV45396S,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1034,14/04/2024,INV45396T,CT8712654,BROWNIE BITES,8,7,56
C1037,14/04/2024,INV45396U,CT8641935,FREEZE-DRIED FRUIT CHIPS,7,8,56
C1037,14/04/2024,INV45396V,CT4923568,MINI COOKIE POUCH,8,5,40
C1044,14/04/2024,INV45396W,CT5347126,GLUTEN-FREE BROWNIE BITES,9,11,99
C1057,14/04/2024,INV45396X,CT3825961,MAPLE-CRUSTED PECANS,11,10,110
C1065,14/04/2024,INV45396Y,CT3981567,HONEY-ROASTED ALMOND BRITTLE,6,6,36
C1068,14/04/2024,INV45396Z,CT8712654,BROWNIE BITES,11,7,77
C1070,14/04/2024,INV45396A,CT9564237,PLANT-BASED MINI COOKIES,10,9,90
C1073,14/04/2024,INV45396B,CT3825961,MAPLE-CRUSTED PECANS,16,10,160
C1001,15/04/2024,INV45397C,CT8712654,BROWNIE BITES,6,7,42
C1014,15/04/2024,INV45397D,CT8712654,BROWNIE BITES,8,7,56
C1014,15/04/2024,INV45397E,CT8712654,BROWNIE BITES,10,7,70
C1023,15/04/2024,INV45397F,CT8239476,SWEET TOOTH BOX,8,15,120
C1032,15/04/2024,INV45397G,CT9564237,PLANT-BASED MINI COOKIES,9,9,81
C1039,15/04/2024,INV45397H,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,7,12,84
C1057,15/04/2024,INV45397I,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,8,13,104
C1060,15/04/2024,INV45397J,CT3825961,MAPLE-CRUSTED PECANS,6,10,60
C1064,15/04/2024,INV45397K,CT8641935,FREEZE-DRIED FRUIT CHIPS,12,8,96
C1069,15/04/2024,INV45397L,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,9,13,117
C1009,16/04/2024,INV45398M,CT8641935,FREEZE-DRIED FRUIT CHIPS,8,8,64
C1010,16/04/2024,INV45398N,CT4923568,MINI COOKIE POUCH,15,5,75
C1020,16/04/2024,INV45398O,CT8712654,BROWNIE BITES,8,7,56
C1024,16/04/2024,INV45398P,CT8152376,DIY COOKIE MIX,12,14,168
C1032,16/04/2024,INV45398Q,CT8641935,FREEZE-DRIED FRUIT CHIPS,6,8,48
C1033,16/04/2024,INV45398R,CT9564237,PLANT-BASED MINI COOKIES,12,9,108
C1045,16/04/2024,INV45398S,CT3981567,HONEY-ROASTED ALMOND BRITTLE,10,6,60
C1056,16/04/2024,INV45398T,CT3825961,MAPLE-CRUSTED PECANS,5,10,50
C1069,16/04/2024,INV45398U,CT9564237,PLANT-BASED MINI COOKIES,8,9,72
C1071,16/04/2024,INV45398V,CT2671398,HONEY-ROASTED ALMOND BRITTLE,7,6,91
C1004,17/04/2024,INV45399W,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1011,17/04/2024,INV45399X,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,6,12,72
C1011,17/04/2024,INV45399Y,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,10,13,130
C1021,17/04/2024,INV45399Z,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1025,17/04/2024,INV45399A,CT8712654,BROWNIE BITES,9,7,63
C1034,17/04/2024,INV45399B,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,10,13,130
C1049,17/04/2024,INV45399C,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1059,17/04/2024,INV45399D,CT3981567,HONEY-ROASTED ALMOND BRITTLE,14,6,84
C1004,18/04/2024,INV45400E,CT5347126,GLUTEN-FREE BROWNIE BITES,8,11,88
C1013,18/04/2024,INV45400F,CT5347126,GLUTEN-FREE BROWNIE BITES,17,11,187
C1075,18/04/2024,INV45400G,CT3981567,HONEY-ROASTED ALMOND BRITTLE,6,6,36
C1081,18/04/2024,INV45400H,CT8152376,DIY COOKIE MIX,8,14,112
C1083,18/04/2024,INV45400I,CT5347126,GLUTEN-FREE BROWNIE BITES,8,11,88
C1014,19/04/2024,INV45401J,CT9564237,PLANT-BASED MINI COOKIES,6,9,54
C1046,19/04/2024,INV45401K,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1047,19/04/2024,INV45401L,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1055,19/04/2024,INV45401M,CT8239476,SWEET TOOTH BOX,6,15,90
C1099,19/04/2024,INV45401N,CT3825961,MAPLE-CRUSTED PECANS,5,10,50
C1011,20/04/2024,INV45402O,CT3825961,MAPLE-CRUSTED PECANS,7,10,70
C1016,20/04/2024,INV45402P,CT3825961,MAPLE-CRUSTED PECANS,13,10,130
C1016,20/04/2024,INV45402Q,CT8239476,SWEET TOOTH BOX,18,15,270
C1023,20/04/2024,INV45402R,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1024,20/04/2024,INV45402S,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,7,12,84
C1024,20/04/2024,INV45402T,CT4923568,MINI COOKIE POUCH,8,5,40
C1031,20/04/2024,INV45402U,CT5347126,GLUTEN-FREE BROWNIE BITES,8,11,88
C1044,20/04/2024,INV45402V,CT4923568,MINI COOKIE POUCH,9,5,45
C1047,20/04/2024,INV45402W,CT8152376,DIY COOKIE MIX,7,14,98
C1072,20/04/2024,INV45402X,CT5347126,GLUTEN-FREE BROWNIE BITES,5,11,55
C1009,21/04/2024,INV45403Y,CT8152376,DIY COOKIE MIX,13,14,182
C1019,21/04/2024,INV45403Z,CT8712654,BROWNIE BITES,9,7,63
C1021,21/04/2024,INV45403A,CT9564237,PLANT-BASED MINI COOKIES,11,9,99
C1053,21/04/2024,INV45403B,CT4923568,MINI COOKIE POUCH,5,5,25
C1058,21/04/2024,INV45403C,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1060,21/04/2024,INV45403D,CT8239476,SWEET TOOTH BOX,12,15,180
C1062,21/04/2024,INV45403E,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1064,21/04/2024,INV45403F,CT8239476,SWEET TOOTH BOX,11,15,165
C1075,21/04/2024,INV45403G,CT4923568,MINI COOKIE POUCH,13,5,65
C1002,22/04/2024,INV45404H,CT3981567,GLUTEN-FREE BROWNIE BITES,8,11,48
C1016,22/04/2024,INV45404I,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,13,13,169
C1025,22/04/2024,INV45404J,CT8641935,FREEZE-DRIED FRUIT CHIPS,9,8,72
C1026,22/04/2024,INV45404K,CT5347126,GLUTEN-FREE BROWNIE BITES,11,11,121
C1071,22/04/2024,INV45404L,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1072,22/04/2024,INV45404M,CT3825961,MAPLE-CRUSTED PECANS,6,10,60
C1004,23/04/2024,INV45405N,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1011,23/04/2024,INV45405O,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1012,23/04/2024,INV45405P,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,6,13,78
C1058,23/04/2024,INV45405Q,CT9564237,PLANT-BASED MINI COOKIES,6,9,54
C1060,23/04/2024,INV45405R,CT3981567,HONEY-ROASTED ALMOND BRITTLE,7,6,42
C1062,23/04/2024,INV45405S,CT8712654,BROWNIE BITES,17,7,119
C1069,23/04/2024,INV45405T,CT8712654,BROWNIE BITES,10,7,70
C1075,23/04/2024,INV45405U,CT8239476,SWEET TOOTH BOX,13,15,195
C1010,24/04/2024,INV45406V,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1013,24/04/2024,INV45406W,CT5347126,GLUTEN-FREE BROWNIE BITES,18,11,198
C1034,24/04/2024,INV45406X,CT4923568,MINI COOKIE POUCH,10,5,50
C1037,24/04/2024,INV45406Y,CT8712654,BROWNIE BITES,7,7,49
C1062,24/04/2024,INV45406Z,CT3825961,MAPLE-CRUSTED PECANS,10,10,100
C1062,24/04/2024,INV45406A,CT8641935,FREEZE-DRIED FRUIT CHIPS,10,8,80
C1065,24/04/2024,INV45406B,CT8152376,DIY COOKIE MIX,10,14,140
C1071,24/04/2024,INV45406C,CT3981567,HONEY-ROASTED ALMOND BRITTLE,7,6,42
C1008,25/04/2024,INV45407D,CT8152376,DIY COOKIE MIX,7,14,98
C1025,25/04/2024,INV45407E,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1050,25/04/2024,INV45407F,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,9,13,117
C1053,25/04/2024,INV45407G,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1054,25/04/2024,INV45407H,CT5347126,GLUTEN-FREE BROWNIE BITES,11,11,121
C1069,25/04/2024,INV45407I,CT5347126,GLUTEN-FREE BROWNIE BITES,14,11,154
C1073,25/04/2024,INV45407J,CT4923568,MINI COOKIE POUCH,10,5,50
C1074,25/04/2024,INV45407K,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1003,26/04/2024,INV45408L,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1017,26/04/2024,INV45408M,CT2671398,MINI COOKIE POUCH,4,5,52
C1021,26/04/2024,INV45408N,CT8712654,BROWNIE BITES,9,7,63
C1024,26/04/2024,INV45408O,CT3981567,HONEY-ROASTED ALMOND BRITTLE,12,6,72
C1039,26/04/2024,INV45408P,CT3981567,HONEY-ROASTED ALMOND BRITTLE,6,6,36
C1047,26/04/2024,INV45408Q,CT8152376,DIY COOKIE MIX,7,14,98
C1047,26/04/2024,INV45408R,CT4923568,MINI COOKIE POUCH,10,5,50
C1050,26/04/2024,INV45408S,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,13,12,156
C1056,26/04/2024,INV45408T,CT3981567,HONEY-ROASTED ALMOND BRITTLE,9,6,54
C1000,27/04/2024,INV45409U,CT8712654,BROWNIE BITES,6,7,42
C1004,27/04/2024,INV45409V,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,8,13,104
C1004,27/04/2024,INV45409W,CT8712654,BROWNIE BITES,8,7,56
C1012,27/04/2024,INV45409X,CT8641935,FREEZE-DRIED FRUIT CHIPS,11,8,88
C1014,27/04/2024,INV45409Y,CT3825961,MAPLE-CRUSTED PECANS,9,10,90
C1018,27/04/2024,INV45409Z,CT8641935,FREEZE-DRIED FRUIT CHIPS,5,8,40
C1043,27/04/2024,INV45409A,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,7,13,91
C1043,27/04/2024,INV45409B,CT3825961,MAPLE-CRUSTED PECANS,8,10,80
C1056,27/04/2024,INV45409C,CT5347126,GLUTEN-FREE BROWNIE BITES,7,11,77
C1008,28/04/2024,INV45410D,CT8152376,DIY COOKIE MIX,7,14,98
C1010,28/04/2024,INV45410E,CT8712654,BROWNIE BITES,8,7,56
C1010,28/04/2024,INV45410F,CT3981567,HONEY-ROASTED ALMOND BRITTLE,12,6,72
C1049,28/04/2024,INV45410G,CT4923568,MINI COOKIE POUCH,6,5,30
C1067,28/04/2024,INV45410H,CT8641935,FREEZE-DRIED FRUIT CHIPS,5,8,40
C1070,28/04/2024,INV45410I,CT8641935,FREEZE-DRIED FRUIT CHIPS,8,8,64
C1005,29/04/2024,INV45411J,CT5347126,GLUTEN-FREE BROWNIE BITES,6,11,66
C1008,29/04/2024,INV45411K,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,5,12,60
C1011,29/04/2024,INV45411L,CT8712654,BROWNIE BITES,11,7,77
C1019,29/04/2024,INV45411M,CT8239476,SWEET TOOTH BOX,8,15,120
C1024,29/04/2024,INV45411N,CT9564237,PLANT-BASED MINI COOKIES,12,9,108
C1029,29/04/2024,INV45411O,CT4923568,MINI COOKIE POUCH,9,5,45
C1033,29/04/2024,INV45411P,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1033,29/04/2024,INV45411Q,CT3825961,MAPLE-CRUSTED PECANS,13,10,130
C1048,29/04/2024,INV45411R,CT8712654,BROWNIE BITES,8,7,56
C1065,29/04/2024,INV45411S,CT3825961,MAPLE-CRUSTED PECANS,7,10,70
C1084,29/04/2024,INV45411T,CT8239476,SWEET TOOTH BOX,7,15,105
C1000,30/04/2024,INV45412U,CT3981567,HONEY-ROASTED ALMOND BRITTLE,5,6,30
C1004,30/04/2024,INV45412V,CT3981567,HONEY-ROASTED ALMOND BRITTLE,5,6,30
C1026,30/04/2024,INV45412W,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,10,12,120
C1062,30/04/2024,INV45412X,CT8239476,SWEET TOOTH BOX,19,15,285
C1063,30/04/2024,INV45412Y,CT9564237,PLANT-BASED MINI COOKIES,10,9,90
C1068,30/04/2024,INV45412Z,CT4923568,MINI COOKIE POUCH,7,5,35
C1013,01/05/2024,INV45413A,CT3825961,MAPLE-CRUSTED PECANS,10,10,100
C1073,01/05/2024,INV45413B,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,16,12,192
C1072,02/05/2024,INV45414C,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,5,13,65
C1008,03/05/2024,INV45415D,CT8152376,DIY COOKIE MIX,5,14,70
C1009,03/05/2024,INV45415E,CT4923568,MINI COOKIE POUCH,18,5,90
C1013,03/05/2024,INV45415F,CT8152376,DIY COOKIE MIX,11,14,154
C1018,03/05/2024,INV45415G,CT4923568,MINI COOKIE POUCH,9,5,45
C1022,03/05/2024,INV45415H,CT8239476,PLANT-BASED MINI COOKIES,16,9,240
C1027,03/05/2024,INV45415I,CT8641935,FREEZE-DRIED FRUIT CHIPS,7,8,56
C1036,03/05/2024,INV45415J,CT5347126,GLUTEN-FREE BROWNIE BITES,8,11,88
C1039,03/05/2024,INV45415K,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,7,12,84
C1058,03/05/2024,INV45415L,CT5347126,GLUTEN-FREE BROWNIE BITES,6,11,66
C1060,03/05/2024,INV45415M,CT9564237,PLANT-BASED MINI COOKIES,7,9,63
C1064,03/05/2024,INV45415N,CT5347126,GLUTEN-FREE BROWNIE BITES,10,11,110
C1065,03/05/2024,INV45415O,CT3825961,MAPLE-CRUSTED PECANS,10,10,100
C1005,04/05/2024,INV45416P,CT8152376,DIY COOKIE MIX,5,14,70
C1013,04/05/2024,INV45416Q,CT5347126,GLUTEN-FREE BROWNIE BITES,17,11,187
C1021,04/05/2024,INV45416R,CT3825961,MAPLE-CRUSTED PECANS,11,10,110
C1046,04/05/2024,INV45416S,CT8712654,BROWNIE BITES,10,7,70
C1059,04/05/2024,INV45416T,CT8641935,FREEZE-DRIED FRUIT CHIPS,9,8,72
C1003,05/05/2024,INV45417U,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,10,12,120
C1007,05/05/2024,INV45417V,CT8239476,SWEET TOOTH BOX,10,15,150
C1023,05/05/2024,INV45417W,CT8641935,FREEZE-DRIED FRUIT CHIPS,15,8,120
C1024,05/05/2024,INV45417X,CT9564237,PLANT-BASED MINI COOKIES,8,9,72
C1025,05/05/2024,INV45417Y,CT8239476,SWEET TOOTH BOX,9,15,135
C1026,05/05/2024,INV45417Z,CT8152376,DIY COOKIE MIX,9,14,126
C1033,05/05/2024,INV45417A,CT5347126,GLUTEN-FREE BROWNIE BITES,12,11,132
C1043,05/05/2024,INV45417B,CT3981567,HONEY-ROASTED ALMOND BRITTLE,8,6,48
C1045,05/05/2024,INV45417C,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,10,13,130
C1047,05/05/2024,INV45417D,CT4923568,MINI COOKIE POUCH,8,5,40
C1055,05/05/2024,INV45417E,CT2671398,CHOCOLATE-COVERED ESPRESSO BEANS,8,13,104
C1062,05/05/2024,INV45417F,CT8641935,FREEZE-DRIED FRUIT CHIPS,15,8,120
C1064,05/05/2024,INV45417G,CT8712654,BROWNIE BITES,9,7,63
C1069,05/05/2024,INV45417H,CT8239476,SWEET TOOTH BOX,9,15,135
C1073,05/05/2024,INV45417I,CT9564237,PLANT-BASED MINI COOKIES,8,9,72
C1073,05/05/2024,INV45417J,CT6193754,CHOCOLATE-DIPPED BISCOTTI FINGERS,9,12,108
C1077,05/05/2024,INV45417K,CT5347126,GLUTEN-FREE BROWNIE BITES,6,11,66
C1093,05/05/2024,INV45417L,CT8239476,SWEET TOOTH BOX,7,15,105
C1002,06/05/2024,INV45418M,CT4923568,GLUTEN-FREE BROWNIE BITES,6,11,30
C1016,06/05/2024,INV45418N,CT8641935,FREEZE-DRIED FRUIT CHIPS,17,8,136
C1019,06/05/2024,INV45418O,CT4923568,MINI COOKIE POUCH,14,5,70
